Row ID,Supplier ID,Supplier Name,NART,Use case,Module (ID),Category,Section,Field (label),Field Type,Required @ go-live,Editable by supplier,Value submitted,Submission date,Status
R00352,1000666,BASF Corporation,14151-90000-00,MDF,29,Requirements,Global Inventory Status for Malaysia (EHSNR),Malaysia (EHSNR),Dropdown,Yes,yes,,,Missing
R00353,1000666,BASF Corporation,14151-90000-00,MDF,29,Requirements,Global Inventory Status for Malaysia (EHSNR),Substance,Freetext,Yes,yes,"Confirmed per supplier declaration for substance, evidence on file.",2024-12-31,Outdated
R00354,1000666,BASF Corporation,14151-90000-00,MDF,29,Requirements,Global Inventory Status for Malaysia (EHSNR),Evaluation Procedures,Dropdown,Yes,yes,"yes, see attachment",2025-11-26,Flagged (needs supplier confirmation)
R00356,1000666,BASF Corporation,14151-90000-00,MDF,29,Requirements,Global Inventory Status for Australia (AICS),Substance,Freetext,Yes,yes,Unknown / not specified,2026-02-28,Flagged (needs supplier confirmation)
R00359,1000666,BASF Corporation,14151-90000-00,MDF,30,Full Material Declaration,Material 1,CAS No. ,Freetext,Yes,yes,"Yes, compliant.",2026-05-04,Flagged (needs supplier confirmation)
R00363,1000666,BASF Corporation,14151-90000-00,MDF,30,Full Material Declaration,Material 2,CAS No. ,Freetext,Yes,yes,123,2026-03-19,Flagged (needs supplier confirmation)
R00369,1000666,BASF Corporation,14151-90000-00,MDF,30,Full Material Declaration,Material 3,"Additional information
e.g. name of the product part where the substance is located, use of an applicable exception incl. number, measuring method.",Freetext,Yes,yes,123,2025-11-23,Flagged (needs supplier confirmation)
R00372,1000666,BASF Corporation,14151-90000-00,MDF,30,Full Material Declaration,Material 4,"Substance concentration (in %)
The concentration of the substance as a percentage of the homogeneous mass of the material.",Freetext,Yes,yes,"Yes, compliant.",2026-02-21,Flagged (needs supplier confirmation)
R00373,1000666,BASF Corporation,14151-90000-00,MDF,30,Full Material Declaration,Material 4,"Additional information
e.g. name of the product part where the substance is located, use of an applicable exception incl. number, measuring method.",Freetext,Yes,yes,Unknown / not specified,2026-08-17,Flagged (needs supplier confirmation)
R00378,1000666,BASF Corporation,14151-90000-00,MDF,30,Full Material Declaration,Material 6,Substance Name,Freetext,Yes,yes,tbc,2026-07-03,Flagged (needs supplier confirmation)
R00380,1000666,BASF Corporation,14151-90000-00,MDF,30,Full Material Declaration,Material 6,"Substance concentration (in %)
The concentration of the substance as a percentage of the homogeneous mass of the material.",Freetext,Yes,yes,123,2026-08-25,Flagged (needs supplier confirmation)
R00382,1000666,BASF Corporation,14151-90000-00,MDF,30,Full Material Declaration,Material 7,Substance Name,Freetext,Yes,yes,"Confirmed per supplier declaration for substance name, evidence on file.",2025-02-22,Outdated
R00384,1000666,BASF Corporation,14151-90000-00,MDF,30,Full Material Declaration,Material 7,"Substance concentration (in %)
The concentration of the substance as a percentage of the homogeneous mass of the material.",Freetext,Yes,yes,Unknown / not specified,2026-03-08,Flagged (needs supplier confirmation)
R00396,1000666,BASF Corporation,14151-90000-00,MDF,30,Full Material Declaration,Material 10,"Substance concentration (in %)
The concentration of the substance as a percentage of the homogeneous mass of the material.",Freetext,Yes,yes,Unknown / not specified,2026-07-10,Flagged (needs supplier confirmation)
R00399,1000666,BASF Corporation,14151-90000-00,MDF,31,Sustainability data (currently optional),Share of virgin fossil material,"Additional information
Source of the recycled material (e.g., post-industrial vs. post consumer), type of recycling (e.g., mechanical), type of certification (e.g., ISCC, mass balanced), measuring method, etc.",Freetext,Yes,yes,pending,2026-08-30,Flagged (needs supplier confirmation)
R00401,1000666,BASF Corporation,14151-90000-00,MDF,31,Sustainability data (currently optional),Share of virgin bio-based material,"Additional information
Source of the recycled material (e.g., post-industrial vs. post consumer), type of recycling (e.g., mechanical), type of certification (e.g., ISCC, mass balanced), measuring method, etc.",Freetext,Yes,yes,Unknown / not specified,2026-05-21,Flagged (needs supplier confirmation)
R00405,1000666,BASF Corporation,14151-90000-00,MDF,31,Sustainability data (currently optional),Share of recycled material,"Additional information
Source of the recycled material (e.g., post-industrial vs. post consumer), type of recycling (e.g., mechanical), type of certification (e.g., ISCC, mass balanced), measuring method, etc.",Freetext,Yes,yes,,,Missing
R00406,1000666,BASF Corporation,14151-90000-00,MDF,31,Sustainability data (currently optional),Share of bio-based from agricultural waste/residue,Substance concentration (in %),Freetext,Yes,yes,123,2026-07-14,Flagged (needs supplier confirmation)
R00407,1000666,BASF Corporation,14151-90000-00,MDF,31,Sustainability data (currently optional),Share of bio-based from agricultural waste/residue,"Additional information
Source of the recycled material (e.g., post-industrial vs. post consumer), type of recycling (e.g., mechanical), type of certification (e.g., ISCC, mass balanced), measuring method, etc.",Freetext,Yes,yes,Unknown / not specified,2026-07-04,Flagged (needs supplier confirmation)
R00415,1000666,BASF Corporation,,PCF,1,Corporate report,Sustainability / ESG Report Upload – Submission,Document file(s),File upload,Yes,yes,See attached documentation,2025-04-19,Outdated
R00419,1000666,BASF Corporation,,PCF,2,GHG & Energy,GHG / Energy Evidence Upload – Submission,Document file(s),File upload,Yes,yes,See attached documentation,2025-05-03,Outdated
R00421,1000666,BASF Corporation,,PCF,3,PCF,PCF Upload – Submission,Information from supplier avaliable?,Check box,Yes,yes,TBD,2026-08-17,Flagged (needs supplier confirmation)
R00425,1000666,BASF Corporation,,PCF,3,PCF,PCF Upload – Submission,Applies to purchased NART(s),Multi-select dropdown,Yes,yes,Unknown / not specified,2026-05-28,Flagged (needs supplier confirmation)
R00426,1000666,BASF Corporation,,PCF,3,PCF,PCF Upload – Submission,Confidentiality level,Dropdown,Yes,yes,tbc,2026-06-28,Flagged (needs supplier confirmation)
R00428,1000666,BASF Corporation,,PCF,3,PCF,PCF Upload – Submission,Site name,Freetext,Yes,yes,N/A,2025-12-09,Flagged (needs supplier confirmation)
R00432,1000666,BASF Corporation,,Certificates,1,Certificates,Certificates,Certificate for supplier entity,Freetext,Yes,yes,,,Missing
R00433,1000666,BASF Corporation,,Certificates,1,Certificates,Certificates,Certificate valid until,Date,Yes,yes,123,2025-12-16,Flagged (needs supplier confirmation)
R00434,1000666,BASF Corporation,,Certificates,1,Certificates,Certificates,Certificate file Upload or LINK to online file,Docuement upload or Lin to automatic download from internet,Yes,yes,,,Missing
R00441,105613,CARL MEYER GMBH,32551-90000-00,MDF,2,REACH,REACH Registration Status,Declaration of comformidity,Freetext,Yes,yes,123,2026-02-18,Flagged (needs supplier confirmation)
R00443,105613,CARL MEYER GMBH,32551-90000-00,MDF,3,REACH,REACh regulation No 1907/2006/EC,"SVHC candidate list (current revision)
Applies to all purchased products and packaging.",Dropdown,Yes,yes,,,Missing
R00444,105613,CARL MEYER GMBH,32551-90000-00,MDF,3,REACH,REACh regulation No 1907/2006/EC,Declaration of comformidity,Freetext,Yes,yes,TBD,2026-07-09,Flagged (needs supplier confirmation)
R00453,105613,CARL MEYER GMBH,32551-90000-00,MDF,4,Legislations,Chemicals prohibition ordinance ChemVerbotsV,Declaration of comformidity,Freetext,Yes,yes,123,2026-02-19,Flagged (needs supplier confirmation)
R00455,105613,CARL MEYER GMBH,32551-90000-00,MDF,5,Legislations,POP regulation No 2019/1021/EC,Applies to all purchased products and packaging.,Dropdown,Yes,yes,Not Compliant,2025-01-29,Outdated
R00457,105613,CARL MEYER GMBH,32551-90000-00,MDF,5,Legislations,POP regulation No 2019/1021/EC,Evaluation Procedures,Dropdown,Yes,yes,,,Missing
R00461,105613,CARL MEYER GMBH,32551-90000-00,MDF,7,Legislations,Packaging directive 94/62/EC,Applies to all packaging materials for production and sales products.,Dropdown,Yes,yes,,,Missing
R00465,105613,CARL MEYER GMBH,32551-90000-00,MDF,8,Legislations,RoHS directive 2011/65/EC incl. amendments,Declaration of comformidity,Freetext,Yes,yes,Unknown / not specified,2026-05-26,Flagged (needs supplier confirmation)
R00469,105613,CARL MEYER GMBH,32551-90000-00,MDF,9,Legislations,ELV directive 2000/53/EC incl. amendments,Evaluation Procedures,Dropdown,Yes,yes,"yes, see attachment",2025-11-28,Flagged (needs supplier confirmation)
R00471,105613,CARL MEYER GMBH,32551-90000-00,MDF,10,Legislations,International Electrotechnical Commission (IEC) 61249-2- 21 standard (Halogens),"if yes, Please list all inlcuded Halogens with their CAS numbers and concentrations:",Freetext,Yes,yes,"Confirmed per supplier declaration for if yes, please list all inlcuded halogens with their cas numbers and concentrations:, evidence on file.",2024-08-14,Outdated
R00472,105613,CARL MEYER GMBH,32551-90000-00,MDF,10,Legislations,International Electrotechnical Commission (IEC) 61249-2- 21 standard (Halogens),Evaluation Procedures,Dropdown,Yes,yes,Material declaration and laboratory ananlysis,2025-02-10,Outdated
R00473,105613,CARL MEYER GMBH,32551-90000-00,MDF,11,Legislations,Deforestation Regulation (EU) 2023/1115 (EUDR) repealing EU Timber Regulation (EU) No 995/2010 (EUTR),Applies to all purchased products,Dropdown,Yes,yes,pending,2026-08-07,Flagged (needs supplier confirmation)
R00474,105613,CARL MEYER GMBH,32551-90000-00,MDF,11,Legislations,Deforestation Regulation (EU) 2023/1115 (EUDR) repealing EU Timber Regulation (EU) No 995/2010 (EUTR),Declaration of comformidity,Freetext,Yes,yes,"Yes, compliant.",2026-08-27,Flagged (needs supplier confirmation)
R00479,105613,CARL MEYER GMBH,32551-90000-00,MDF,12,Requirements,Halal / Kosher requirements,Evaluation Procedures,Dropdown,Yes,yes,,,Missing
R00480,105613,CARL MEYER GMBH,32551-90000-00,MDF,13,Requirements,Phthalates,Does this product contain phthalates not listed under ANNEX XVII REACH (entry 51)?,Dropdown,Yes,yes,Unknown / not specified,2026-08-17,Flagged (needs supplier confirmation)
R00487,105613,CARL MEYER GMBH,32551-90000-00,MDF,15,Requirements,Antimony,Please list all included antimony compounds with their CAS numbers and concentrations:,Freetext,Yes,yes,123,2026-08-14,Flagged (needs supplier confirmation)
R00488,105613,CARL MEYER GMBH,32551-90000-00,MDF,15,Requirements,Antimony,Evaluation Procedures,Dropdown,Yes,yes,N/A,2026-05-04,Flagged (needs supplier confirmation)
R00489,105613,CARL MEYER GMBH,32551-90000-00,MDF,16,Requirements,Silicone,Does this product contain silicone or other silicone compounds?,Dropdown,Yes,yes,,,Missing
R00491,105613,CARL MEYER GMBH,32551-90000-00,MDF,16,Requirements,Silicone,Evaluation Procedures,Dropdown,Yes,yes,Unknown / not specified,2026-05-17,Flagged (needs supplier confirmation)
R00493,105613,CARL MEYER GMBH,32551-90000-00,MDF,17,Requirements,Microplastics / Synthetic polymer microparticles (SPM),Declaration of comformidity,Freetext,Yes,yes,"Yes, compliant.",2026-08-21,Flagged (needs supplier confirmation)
R00494,105613,CARL MEYER GMBH,32551-90000-00,MDF,17,Requirements,Microplastics / Synthetic polymer microparticles (SPM),Evaluation Procedures,Dropdown,Yes,yes,,,Missing
R00497,105613,CARL MEYER GMBH,32551-90000-00,MDF,18,Requirements,Nanomaterial,Evaluation Procedures,Dropdown,Yes,yes,,,Missing
R00498,105613,CARL MEYER GMBH,32551-90000-00,MDF,19,Requirements,"Biocides Directive 98/8/EC, as amended by Ordinance EU 528/2012?",Does this product contain any biocidal substances as mentioned in Ordinance EU 528/2012? ,Dropdown,Yes,yes,Unknown / not specified,2026-01-19,Flagged (needs supplier confirmation)
R00503,105613,CARL MEYER GMBH,32551-90000-00,MDF,20,Requirements,Ozone Depleting Substances (ODS) Regulation (EC) No 1005/2009,Evaluation Procedures,Dropdown,Yes,yes,Material declaration and laboratory ananlysis,2025-04-17,Outdated
R00508,105613,CARL MEYER GMBH,32551-90000-00,MDF,22,Conflict Minerals,Responsible Minerals Sourcing (EU and US Legislative),Declaration of comformidity,Dropdown,Yes,yes,"Intentionally added Minerals, which are subject under the term ""responsible sourcing"", are only extracted from conformant smelters",2025-04-29,Outdated
R00509,105613,CARL MEYER GMBH,32551-90000-00,MDF,22,Conflict Minerals,Responsible Minerals Sourcing (EU and US Legislative),"in case CMRT & EMRT are required, please upload the document",File upload,Yes,yes,TBD,2026-06-13,Flagged (needs supplier confirmation)
R00513,105613,CARL MEYER GMBH,32551-90000-00,MDF,24,Requirements,Global automotive declarable substance list (GADSL),Please list all GADSL listet substances including the CAS numbers and concentrations:,Freetext,Yes,yes,,,Missing
R00516,105613,CARL MEYER GMBH,32551-90000-00,MDF,25,Requirements,California Proposition 65,Declaration of comformidity,Dropdown,Yes,yes,"yes, see attachment",2026-01-23,Flagged (needs supplier confirmation)
R00517,105613,CARL MEYER GMBH,32551-90000-00,MDF,25,Requirements,California Proposition 65,Evaluation Procedures,Dropdown,Yes,yes,Presumption (without evidence),2025-06-30,Outdated
R00533,105613,CARL MEYER GMBH,32551-90000-00,MDF,28,Requirements,US FDA Status,Is your product compliant with USA FDA regulations for food contact? Please state the US FDA paragraph,Dropdown,Yes,yes,Unknown / not specified,2026-02-26,Flagged (needs supplier confirmation)
R00534,105613,CARL MEYER GMBH,32551-90000-00,MDF,28,Requirements,US FDA Status,Please state foodlaw status of your product incl. the relevant US FDA paragpraph,Freetext,Yes,yes,"Yes, compliant.",2026-06-27,Flagged (needs supplier confirmation)
R00535,105613,CARL MEYER GMBH,32551-90000-00,MDF,28,Requirements,US FDA Status,Evaluation Procedures,Dropdown,Yes,yes,"Yes, compliant.",2026-07-01,Flagged (needs supplier confirmation)
R00536,105613,CARL MEYER GMBH,32551-90000-00,MDF,29,Requirements,Global Inventory Status for USA (TSCA),Global Inventory Status,Dropdown,Yes,yes,"Yes, compliant.",2026-02-23,Flagged (needs supplier confirmation)
R00537,105613,CARL MEYER GMBH,32551-90000-00,MDF,29,Requirements,Global Inventory Status for USA (TSCA),Substance,Freetext,Yes,yes,"Yes, compliant.",2026-07-30,Flagged (needs supplier confirmation)
R00540,105613,CARL MEYER GMBH,32551-90000-00,MDF,29,Requirements,Global Inventory Status for Canada (DSL),Substance,Freetext,Yes,yes,"Yes, compliant.",2026-02-07,Flagged (needs supplier confirmation)
R00542,105613,CARL MEYER GMBH,32551-90000-00,MDF,29,Requirements,Global Inventory Status for Canada (NDSL),Canada (NDSL),Dropdown,Yes,yes,tbc,2026-01-06,Flagged (needs supplier confirmation)
R00543,105613,CARL MEYER GMBH,32551-90000-00,MDF,29,Requirements,Global Inventory Status for Canada (NDSL),Substance,Freetext,Yes,yes,N/A,2026-08-03,Flagged (needs supplier confirmation)
R00546,105613,CARL MEYER GMBH,32551-90000-00,MDF,29,Requirements,Global Inventory Status for China (IECSC) ,Substance,Freetext,Yes,yes,"Confirmed per supplier declaration for substance, evidence on file.",2024-05-17,Outdated
R00548,105613,CARL MEYER GMBH,32551-90000-00,MDF,29,Requirements,Global Inventory Status for Korea (KECI),Korea (KECI),Dropdown,Yes,yes,"Yes, compliant.",2026-06-19,Flagged (needs supplier confirmation)
R00552,105613,CARL MEYER GMBH,32551-90000-00,MDF,29,Requirements,Global Inventory Status for New Zealand (NZIOC),Substance,Freetext,Yes,yes,tbc,2026-01-14,Flagged (needs supplier confirmation)
R00553,105613,CARL MEYER GMBH,32551-90000-00,MDF,29,Requirements,Global Inventory Status for New Zealand (NZIOC),Evaluation Procedures,Dropdown,Yes,yes,"Yes, compliant.",2025-11-23,Flagged (needs supplier confirmation)
R00569,105613,CARL MEYER GMBH,32551-90000-00,MDF,29,Requirements,Global Inventory Status for Malaysia (EHSNR),Malaysia (EHSNR),Dropdown,Yes,yes,,,Missing
R00571,105613,CARL MEYER GMBH,32551-90000-00,MDF,29,Requirements,Global Inventory Status for Malaysia (EHSNR),Evaluation Procedures,Dropdown,Yes,yes,,,Missing
R00576,105613,CARL MEYER GMBH,32551-90000-00,MDF,30,Full Material Declaration,Material 1,CAS No. ,Freetext,Yes,yes,N/A,2025-12-05,Flagged (needs supplier confirmation)
R00579,105613,CARL MEYER GMBH,32551-90000-00,MDF,30,Full Material Declaration,Material 2,Substance Name,Freetext,Yes,yes,,,Missing
R00580,105613,CARL MEYER GMBH,32551-90000-00,MDF,30,Full Material Declaration,Material 2,CAS No. ,Freetext,Yes,yes,123,2026-01-20,Flagged (needs supplier confirmation)
R00581,105613,CARL MEYER GMBH,32551-90000-00,MDF,30,Full Material Declaration,Material 2,"Substance concentration (in %)
The concentration of the substance as a percentage of the homogeneous mass of the material.",Freetext,Yes,yes,123,2025-12-11,Flagged (needs supplier confirmation)
R00582,105613,CARL MEYER GMBH,32551-90000-00,MDF,30,Full Material Declaration,Material 2,"Additional information
e.g. name of the product part where the substance is located, use of an applicable exception incl. number, measuring method.",Freetext,Yes,yes,Unknown / not specified,2025-11-21,Flagged (needs supplier confirmation)
R00583,105613,CARL MEYER GMBH,32551-90000-00,MDF,30,Full Material Declaration,Material 3,Substance Name,Freetext,Yes,yes,tbc,2026-02-04,Flagged (needs supplier confirmation)
R00584,105613,CARL MEYER GMBH,32551-90000-00,MDF,30,Full Material Declaration,Material 3,CAS No. ,Freetext,Yes,yes,"Confirmed per supplier declaration for cas no. , evidence on file.",2025-04-07,Outdated
R00588,105613,CARL MEYER GMBH,32551-90000-00,MDF,30,Full Material Declaration,Material 4,CAS No. ,Freetext,Yes,yes,Unknown / not specified,2025-12-07,Flagged (needs supplier confirmation)
R00593,105613,CARL MEYER GMBH,32551-90000-00,MDF,30,Full Material Declaration,Material 5,"Substance concentration (in %)
The concentration of the substance as a percentage of the homogeneous mass of the material.",Freetext,Yes,yes,,,Missing
R00595,105613,CARL MEYER GMBH,32551-90000-00,MDF,30,Full Material Declaration,Material 6,Substance Name,Freetext,Yes,yes,"Yes, compliant.",2026-07-20,Flagged (needs supplier confirmation)
R00597,105613,CARL MEYER GMBH,32551-90000-00,MDF,30,Full Material Declaration,Material 6,"Substance concentration (in %)
The concentration of the substance as a percentage of the homogeneous mass of the material.",Freetext,Yes,yes,"Confirmed per supplier declaration for substance concentration (in %)
the concentration of the substance as a percentage of the homogeneous mass of the material., evidence on file.",2024-11-02,Outdated
R00598,105613,CARL MEYER GMBH,32551-90000-00,MDF,30,Full Material Declaration,Material 6,"Additional information
e.g. name of the product part where the substance is located, use of an applicable exception incl. number, measuring method.",Freetext,Yes,yes,"Yes, compliant.",2026-06-14,Flagged (needs supplier confirmation)
R00602,105613,CARL MEYER GMBH,32551-90000-00,MDF,30,Full Material Declaration,Material 7,"Additional information
e.g. name of the product part where the substance is located, use of an applicable exception incl. number, measuring method.",Freetext,Yes,yes,123,2026-08-24,Flagged (needs supplier confirmation)
R00603,105613,CARL MEYER GMBH,32551-90000-00,MDF,30,Full Material Declaration,Material 8,Substance Name,Freetext,Yes,yes,,,Missing
R00605,105613,CARL MEYER GMBH,32551-90000-00,MDF,30,Full Material Declaration,Material 8,"Substance concentration (in %)
The concentration of the substance as a percentage of the homogeneous mass of the material.",Freetext,Yes,yes,"Confirmed per supplier declaration for substance concentration (in %)
the concentration of the substance as a percentage of the homogeneous mass of the material., evidence on file.",2024-11-18,Outdated
R00609,105613,CARL MEYER GMBH,32551-90000-00,MDF,30,Full Material Declaration,Material 9,"Substance concentration (in %)
The concentration of the substance as a percentage of the homogeneous mass of the material.",Freetext,Yes,yes,,,Missing
R00611,105613,CARL MEYER GMBH,32551-90000-00,MDF,30,Full Material Declaration,Material 10,Substance Name,Freetext,Yes,yes,"Confirmed per supplier declaration for substance name, evidence on file.",2024-12-28,Outdated
R00614,105613,CARL MEYER GMBH,32551-90000-00,MDF,30,Full Material Declaration,Material 10,"Additional information
e.g. name of the product part where the substance is located, use of an applicable exception incl. number, measuring method.",Freetext,Yes,yes,pending,2025-12-31,Flagged (needs supplier confirmation)
R00616,105613,CARL MEYER GMBH,32551-90000-00,MDF,31,Sustainability data (currently optional),Share of virgin fossil material,"Additional information
Source of the recycled material (e.g., post-industrial vs. post consumer), type of recycling (e.g., mechanical), type of certification (e.g., ISCC, mass balanced), measuring method, etc.",Freetext,Yes,yes,,,Missing
R00620,105613,CARL MEYER GMBH,32551-90000-00,MDF,31,Sustainability data (currently optional),Share of virgin other material,"Additional information
Source of the recycled material (e.g., post-industrial vs. post consumer), type of recycling (e.g., mechanical), type of certification (e.g., ISCC, mass balanced), measuring method, etc.",Freetext,Yes,yes,"Confirmed per supplier declaration for additional information
source of the recycled material (e.g., post-industrial vs. post consumer), type of recycling (e.g., mechanical), type of certification (e.g., iscc, mass balanced), measuring method, etc., evidence on file.",2024-09-04,Outdated
R00621,105613,CARL MEYER GMBH,32551-90000-00,MDF,31,Sustainability data (currently optional),Share of recycled material,Substance concentration (in %),Freetext,Yes,yes,123,2026-02-05,Flagged (needs supplier confirmation)
R00622,105613,CARL MEYER GMBH,32551-90000-00,MDF,31,Sustainability data (currently optional),Share of recycled material,"Additional information
Source of the recycled material (e.g., post-industrial vs. post consumer), type of recycling (e.g., mechanical), type of certification (e.g., ISCC, mass balanced), measuring method, etc.",Freetext,Yes,yes,123,2026-03-16,Flagged (needs supplier confirmation)
R00625,105613,CARL MEYER GMBH,32551-90000-00,MDF,31,Sustainability data (currently optional),Share of other circular material feedstock,Substance concentration (in %),Freetext,Yes,yes,,,Missing
R00626,105613,CARL MEYER GMBH,32551-90000-00,MDF,31,Sustainability data (currently optional),Share of other circular material feedstock,"Additional information
Source of the recycled material (e.g., post-industrial vs. post consumer), type of recycling (e.g., mechanical), type of certification (e.g., ISCC, mass balanced), measuring method, etc.",Freetext,Yes,yes,"Yes, compliant.",2026-02-16,Flagged (needs supplier confirmation)
R00631,105613,CARL MEYER GMBH,,PCF,1,Corporate report,Sustainability / ESG Report Upload – Submission,Reporting year,Dropdown,Yes,yes,,,Missing
R00632,105613,CARL MEYER GMBH,,PCF,1,Corporate report,Sustainability / ESG Report Upload – Submission,Document file(s),File upload,Yes,yes,"Yes, compliant.",2026-03-08,Flagged (needs supplier confirmation)
R00634,105613,CARL MEYER GMBH,,PCF,2,GHG & Energy,GHG / Energy Evidence Upload – Submission,Information from supplier avaliable?,Check box,Yes,yes,pending,2026-03-06,Flagged (needs supplier confirmation)
R00644,105613,CARL MEYER GMBH,,PCF,3,PCF,PCF Upload – Submission,Supplier comment (optional),Short text,Yes,yes,Unknown / not specified,2026-04-18,Flagged (needs supplier confirmation)
R00646,105613,CARL MEYER GMBH,,PCF,3,PCF,PCF Upload – Submission,Country,Dropdown,Yes,yes,,,Missing
R00654,11000690,DOW CORNING GMBH,00052-90000-00,MDF,1,General information,Introduction,Declaration of comformidity,Freetext,Yes,yes,N/A,2026-05-13,Flagged (needs supplier confirmation)
R00658,11000690,DOW CORNING GMBH,00052-90000-00,MDF,2,REACH,REACH Registration Status,Declaration of comformidity,Freetext,Yes,yes,123,2026-01-09,Flagged (needs supplier confirmation)
R00660,11000690,DOW CORNING GMBH,00052-90000-00,MDF,3,REACH,REACh regulation No 1907/2006/EC,"SVHC candidate list (current revision)
Applies to all purchased products and packaging.",Dropdown,Yes,yes,Complaint,2024-09-14,Outdated
R00661,11000690,DOW CORNING GMBH,00052-90000-00,MDF,3,REACH,REACh regulation No 1907/2006/EC,Declaration of comformidity,Freetext,Yes,yes,123,2025-12-21,Flagged (needs supplier confirmation)
R00662,11000690,DOW CORNING GMBH,00052-90000-00,MDF,3,REACH,REACh regulation No 1907/2006/EC,Evaluation Procedures,Dropdown,Yes,yes,Unknown / not specified,2026-06-10,Flagged (needs supplier confirmation)
R00665,11000690,DOW CORNING GMBH,00052-90000-00,MDF,3,REACH,REACh regulation No 1907/2006/EC,Evaluation Procedures,Dropdown,Yes,yes,tbc,2026-05-19,Flagged (needs supplier confirmation)
R00668,11000690,DOW CORNING GMBH,00052-90000-00,MDF,3,REACH,REACh regulation No 1907/2006/EC,Evaluation Procedures,Dropdown,Yes,yes,Unknown / not specified,2026-04-24,Flagged (needs supplier confirmation)
R00670,11000690,DOW CORNING GMBH,00052-90000-00,MDF,4,Legislations,Chemicals prohibition ordinance ChemVerbotsV,Declaration of comformidity,Freetext,Yes,yes,"Yes, compliant.",2026-06-17,Flagged (needs supplier confirmation)
R00675,11000690,DOW CORNING GMBH,00052-90000-00,MDF,6,Legislations,PFOS/PFOA Directive 2006/122/EU,Applies to all purchased products,Dropdown,Yes,yes,"Yes, compliant.",2025-11-20,Flagged (needs supplier confirmation)
R00676,11000690,DOW CORNING GMBH,00052-90000-00,MDF,6,Legislations,PFOS/PFOA Directive 2006/122/EU,Declaration of comformidity,Freetext,Yes,yes,pending,2026-08-27,Flagged (needs supplier confirmation)
R00683,11000690,DOW CORNING GMBH,00052-90000-00,MDF,8,Legislations,RoHS directive 2011/65/EC incl. amendments,Evaluation Procedures,Dropdown,Yes,yes,"Yes, compliant.",2026-04-01,Flagged (needs supplier confirmation)
R00686,11000690,DOW CORNING GMBH,00052-90000-00,MDF,9,Legislations,ELV directive 2000/53/EC incl. amendments,Evaluation Procedures,Dropdown,Yes,yes,pending,2026-07-11,Flagged (needs supplier confirmation)
R00688,11000690,DOW CORNING GMBH,00052-90000-00,MDF,10,Legislations,International Electrotechnical Commission (IEC) 61249-2- 21 standard (Halogens),"if yes, Please list all inlcuded Halogens with their CAS numbers and concentrations:",Freetext,Yes,yes,"Confirmed per supplier declaration for if yes, please list all inlcuded halogens with their cas numbers and concentrations:, evidence on file.",2024-04-11,Outdated
R00692,11000690,DOW CORNING GMBH,00052-90000-00,MDF,11,Legislations,Deforestation Regulation (EU) 2023/1115 (EUDR) repealing EU Timber Regulation (EU) No 995/2010 (EUTR),Evaluation Procedures,Dropdown,Yes,yes,pending,2025-12-22,Flagged (needs supplier confirmation)
R00694,11000690,DOW CORNING GMBH,00052-90000-00,MDF,12,Requirements,Halal / Kosher requirements,Please confirm that the above-metioned product does not contain any substances of animal origin or ethanol,Dropdown,Yes,yes,"yes, see attachment",2025-12-27,Flagged (needs supplier confirmation)
R00697,11000690,DOW CORNING GMBH,00052-90000-00,MDF,13,Requirements,Phthalates,Does this product contain phthalates not listed under ANNEX XVII REACH (entry 51)?,Dropdown,Yes,yes,Unknown / not specified,2026-01-14,Flagged (needs supplier confirmation)
R00698,11000690,DOW CORNING GMBH,00052-90000-00,MDF,13,Requirements,Phthalates,Please list all included phthalates except those which are mentioned in ANNEX XVII REACH (entry 51) with their CAS numbers and concentrations:,Freetext,Yes,yes,,,Missing
R00699,11000690,DOW CORNING GMBH,00052-90000-00,MDF,13,Requirements,Phthalates,Evaluation Procedures,Dropdown,Yes,yes,tbc,2026-03-08,Flagged (needs supplier confirmation)
R00701,11000690,DOW CORNING GMBH,00052-90000-00,MDF,14,Requirements,Mineral Oil,Please list all included mineral oils with their CAS numbers and concentrations:,Freetext,Yes,yes,Unknown / not specified,2026-06-04,Flagged (needs supplier confirmation)
R00704,11000690,DOW CORNING GMBH,00052-90000-00,MDF,15,Requirements,Antimony,Please list all included antimony compounds with their CAS numbers and concentrations:,Freetext,Yes,yes,Unknown / not specified,2026-07-13,Flagged (needs supplier confirmation)
R00708,11000690,DOW CORNING GMBH,00052-90000-00,MDF,16,Requirements,Silicone,Evaluation Procedures,Dropdown,Yes,yes,Unknown / not specified,2025-12-25,Flagged (needs supplier confirmation)
R00710,11000690,DOW CORNING GMBH,00052-90000-00,MDF,17,Requirements,Microplastics / Synthetic polymer microparticles (SPM),Declaration of comformidity,Freetext,Yes,yes,"Yes, compliant.",2026-03-25,Flagged (needs supplier confirmation)
R00713,11000690,DOW CORNING GMBH,00052-90000-00,MDF,18,Requirements,Nanomaterial,"If yes, which particle size?
Please list the particle size of the nano substance:",Freetext,Yes,yes,Unknown / not specified,2026-04-01,Flagged (needs supplier confirmation)
R00718,11000690,DOW CORNING GMBH,00052-90000-00,MDF,20,Requirements,Ozone Depleting Substances (ODS) Regulation (EC) No 1005/2009,Does this product contain Ozone depleting substances as per Regulation (EC) No 1005/2009 ,Dropdown,Yes,yes,,,Missing
